pageID,title,revisions_count
1,Main Page,100
2,,0
3,Lion,100
4,,0
5,Template:;,2
6,Template:Anglicise rank,3
7,Template:COLON,3
8,Template:Citation/core,7
9,Template:Citation/identifier,6
10,Template:Citation/make link,4
11,Template:Cite book,3
12,Template:Commons-inline,2
13,Template:Convert,8
14,Template:Hide in print,6
15,Template:IUCN2006,2
16,,0
17,Template:MSW3 Carnivora,2
18,Template:Main,6
19,Template:Only in print,5
20,Template:Reflist,12
21,Template:Rellink,5
22,Template:Sec link/normal link,4
23,Template:Sec link/text,4
24,Template:Taxobox,7
25,Template:Column-width,3
26,Template:Div col,2
27,Template:Div col end,2
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,Template:Esoteric,3
37,,0
38,Template:Fossil range,1
39,Template:Fossil range/bar,2
40,Template:Fossil range/marker,2
41,Template:Image frame,4
42,Template:Intricate template,13
43,Template:Linear-gradient,2
44,Template:Next period,22
45,Template:Nowrap,8
46,Template:Ombox,4
47,Template:Ombox/core,10
48,Template:Para,4
49,Template:Period color,2
50,Template:Period end,2
51,Template:Period start,2
52,Template:Phanerozoic 220px,1
53,Template:Pp-meta,9
54,Template:Pp-template,7
55,Template:Purge,8
56,Template:Refs,1
57,Template:Str left,5
58,Template:T1,2
59,Template:Tag,2
60,Template:Taxobox/core,5
61,Template:Taxobox/doc,1
62,Template:Taxobox/species,3
63,Template:Taxobox colour,3
64,Template:Taxonomy,3
65,Template:Template other,8
66,Template:Tl,7
67,Template:Tlx,9
68,Template:UF-species,1
69,Template:Var,2
70,User:Plyd,10
71,,0
72,Category:Fr,2
73,Category:Fr-N,2
74,Category:En,2
75,Category:En-2,2
76,Category:It,2
77,Category:It-2,2
78,User:Linedwell,14
79,User:LinedBot,2
80,Category:Es,2
81,Category:Es-1,2
82,User:Super10,16
83,,0
84,,0
85,Category:It-1,2
86,Category:Ja,2
87,Category:Ja-1,2
88,User talk:Vivi-1,28
89,Category:Panthera,4
90,Category:Mammals of Africa,11
91,User:Macassar,7
92,,0
93,MediaWiki:Action-patroller,1
94,Sand cat,15
95,Common wall lizard,16
96,Category:Mammals,10
97,Fisher (animal),13
98,Snowshoe hare,11
99,American porcupine,2
100,New World porcupine,15
101,,0
102,United Kingdom,71
103,Japanese macaque,17
104,Great Britain,11
105,Hermann's tortoise,22
106,Passenger pigeon,13
107,,0
108,Vikidia:Talk,62
109,,0
110,User:Lolo7433,5
111,France,100
112,GDP,10
113,United States,100
114,User:Alexandrin,13
115,God Save the King,18
116,Galah,9
117,Barack Obama,53
118,Twin,6
119,User:Vivi-1,1
120,Vikidia:Talk/2013,3
121,Template:Support,3
122,Category:Voting templates,4
123,Template:CURRENTWEEK.YEAR,3
124,Template:Oppose,2
125,Template:Neutral,2
126,Category:Main,3
127,Union Jack,5
128,User talk:Linedwell,43
129,United Kingdom of Great Britain and Northern Ireland,1
