text	page_id	page_title	page_revisions	chars
Hestia was always the first to receive offerings at every sacrifice in a household. Any hearth of a household was forbidden to go out unless the fire was ritually extinguished and ritually revived. The hearth of the prytaneum was Hestia's official sanctuary. When a new colony was formed, a flame from Hestia's puplic hearth in the mother city would be carried to the new settlement.	7146	Hestia	50	383
The majority of Dutch speakers live in the Netherlands, the northern part of Belgium (Flanders) and Suriname. Those three countries alone have 21,5 million Dutch speakers. Dutch in the Netherlands, Flanders and Suriname is the official language, and is spoken by nearly everyone there. Dutch is also the official language in Suriname where about 60% of the population has it as their mother tongue.	5324	Dutch_language	50	398
Dutch is also spoken in Aruba, the Netherlands Antilles, and a tiny corner of northern France called French Flanders. Dutch used to be spoken by many in Indonesia, which was a Dutch colony until 1949, but now only the older generation speak it. Afrikaans, one of the languages of European settlers in Africa, is almost completely based on Dutch. In fact, they are so similar, someone could be speaking Afrikaans and someone else Dutch, and they would both understand each other.	5324	Dutch_language	50	478
"The best known example of very old Dutch text is ""Hebban olla vogala nestas hagunnan, hinase hic enda tu, wat unbidan we nu"" (""All birds have started making nests, except me and you, what are we waiting for""). It was written around 1100. For a long time, scholars thought that it was the oldest Dutch text, but now an older text has been discovered: ""Visc flot aftar themo uuatare"" (""A fish was swimming in the water"") and ""Gelobistu in got alamehtigan fadaer"" (""Do you believe in God the almighty father""). If you know German, this should be pretty easy to understand. These were written around the year 900."	5324	Dutch_language	50	609
The Leaning Tower of Pisa is a building in Pisa, Italy. It is a bell tower. It is famous because it is not vertical and leans 4° to the ground. The tower was once leaning more and more to the ground, but recently much restoration work has been done to stop it from falling over completely. There was scaffolding all around the tower for 20 years. On 26 April 2011, the last bit of scaffolding was removed so that the tower can be seen properly again (*) .	4313	Leaning_Tower_of_Pisa	50	455
When the second floor was built in 1178, the tower started to lean. This was because it had a small three-meter foundation in soft soil. The design of this tower was bad from the beginning. Construction was stopped for almost 100 years because the people of Pisa were often at war with Genoa, Lucca, and Florence.	4313	Leaning_Tower_of_Pisa	50	313
"Ludwig van Beethoven was a German composer and pianist. He was born on 17 December 1770, and died on 26 March 1827. He wrote one opera, several masses, nine symphonies, seven concertos, 32 piano sonatas, string quartets, and many other works. The ""Moonlight"" sonata and the bagatelle ""For Elise"" are known around the world."	841	Ludwig_van_Beethoven	51	323
Beethoven became a pupil of Franz Joseph Haydn, but Haydn wanted Beethoven to compose in the Classical style. This style was becoming old-fashioned. Beethoven wanted to compose in the new Romantic style. The relationship between Haydn and Beethoven grew difficult, and ended when Haydn went to England for a year in 1795.	841	Ludwig_van_Beethoven	51	321
Beethoven started to lose his hearing about 1800. He left Vienna for a country village where he came to terms with his growing deafness. By 1814, he was completely deaf. He continued to compose with success, but no longer conducted or performed in public.	841	Ludwig_van_Beethoven	51	255
Beethoven was in love several times, but he never married. He and the women he loved were separated by class differences. Beethoven was a commoner, but the women he loved were aristocrats. It was impossible for him to be united in marriage with any of these women. He came into contact with these women through his position as their music teacher.	841	Ludwig_van_Beethoven	51	347
"Beethoven's last great works were composed during this study period and show the influences of Bach and Handel. These works include the Ninth Symphony (""Choral""), the Missa Solemnis, the Diabelli Variations, several string quartets, and the ""Hammerklavier"" piano sonata."	841	Ludwig_van_Beethoven	51	270
"Beethoven's string quartets and other chamber music are also played in concert halls and at home. His short and easy piano pieces, ""For Elise"", ""Turkish March"", ""Rage Over a Lost Penny"", and the Bagatelles are played by beginning piano students around the world."	841	Ludwig_van_Beethoven	51	262
In 1536, the Act of Union was passed under Henry's rule. This act had a long lasting effect on Wales as a nation. The Act of Union meant that Welsh people were forced to speak English and things such as road signs were translated into English.	5254	Henry_VIII_of_England	51	243
Henry is known to the popular imagination as a jovial but temperamental monarch. He is infamous for having been married six times. Two of his wives, Anne Boleyn and Catherine Howard, were executed for treason. His three children followed him to the throne of England. They were Mary I, Edward IV, and Elizabeth I.	5254	Henry_VIII_of_England	51	313
"Henry was a competent author and composer. He was said to have written the tune known as ""Greensleeves"". Shakespeare wrote a play about Henry. Henry has been depicted in movies several times, notably by Charles Laughton. Henry is buried at Windsor Castle."	5254	Henry_VIII_of_England	51	255
He was one of the sons of Henry VII Tudor and his wife Elizabeth of York. When his elder brother Arthur Tudor died in 1502, he became the heir to the English crown and he succeeded his father in 1509. The same year he married Catherine of Aragon, the daughter of the Catholic Monarchs Ferdinand II of Aragon and Isabella of Castile and the widow of his brother Arthur.	5254	Henry_VIII_of_England	51	368
Starting in 1515, Cardinal Thomas Wolsey became his minister. Henry VIII pursued an alliance with France and, in 1520, met with King Francis I, during talks at the Field of the Cloth of Gold (so named because the English and the French displayed their wealth there). But the alliance between France and England failed, and Henry VIII aligned with the Emperor Charles V.	5254	Henry_VIII_of_England	51	369
Henry VIII established the Protestant Church of England after a quarrel with the Pope. In 1529, Henry attempted to obtain the Pope's consent: he wanted to have his marriage with Catherine of Aragon annulled and to marry Anne Boleyn instead in order to have a male heir. The pope refused, and cardinal Wolsey (whose negotiations with the pope failed) was then dismissed in disgrace. In 1533, the Archbishop of Canterbury declared the divorce, and Henri VIII married Anne Boleyn. In 1534, he passed the Act of Supremacy, which meant that the king, not the pope, was the head of the church in England. He then forced all priests and bishops to accept him as the new leader. Anyone who refused was punished.	5254	Henry_VIII_of_England	51	703
Gustavo Adolfo Bécquer, (*) whose real name is Gustavo Adolfo Domínguez Bastida, was born in Seville on February 17, 1836 and died in Madrid on December 22, 1870 at the age of 33, was a Spanish poet of the Romantic Movement. It should be noted, that the poet gained popularity after his death, when his works were published, and not in his life. Bécquer had noble ancestors.	5358	Gustavo_Adolfo_Bécquer	52	374
His closest family devoted themselves to painting. Even his brother, Valerian Becquer, painted the most famous and renowned works of Gustavo Alolfo Becquer. Although Becquer was interested more in poetry after the death of his parents he also was familiar with paintings and produced small works and sketches.	5358	Gustavo_Adolfo_Bécquer	52	309
He died on the 22nd of December in 1870 at the age of 33 after a winter chill, typical for that time of the year that managed to end his life. Of his personal life, it is known that he married Casta Esteban y Navarro and from the marriage he had three children. During all his life he was changing his home, he lived in Toledo and in Madrid, and more so he had the desire to succeed during his life, and he tried it, leaving Madrid several times, although it ended in failure, definitely he acquired more popularity after his death.	5358	Gustavo_Adolfo_Bécquer	52	532
